"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790357711290499553","Tue May 14 12:25:16 +0000 2024","0","eh ini diotakku keputer lagunyaa rizky febian sm mahalini teruss deh yg bermuara","1790357711290499553","","","in","thv ","0","2","0","https://twitter.com/forgyet/status/1790357711290499553","1333278867277062144","forgyet"
"1790357255617179726","Tue May 14 12:23:27 +0000 2024","110","Sayang... Perjalanan kita kan berlayar Berlabuh di tujuan yang sama Bermuara di keabadian. Semoga cerita kalian tidak lama lagi akan sama seperti lirik lagu diatas. Aaamiiin Hello iam back! Walau gak penting dan pasti ngilang lagi nanti https://t.co/OwXQgy4FHo","1790357255617179726","https://pbs.twimg.com/media/GNigb7nbQAAUjU-.jpg","","in","","0","4","4","https://twitter.com/ZammilaA/status/1790357255617179726","1462060637861810182","ZammilaA"
"1790345244929859612","Tue May 14 11:35:44 +0000 2024","36","Bermuara dengan Mahal Ini? Sudah mendengarkan lagunya? https://t.co/36PGvqUw9t","1790345244929859612","https://pbs.twimg.com/media/GNiVdDsbAAAkWAa.jpg","","in","Jakarta, Indonesia","0","1","4","https://twitter.com/vindestwitt/status/1790345244929859612","1400353926474395648","vindestwitt"
"1790338771336220733","Tue May 14 11:10:00 +0000 2024","145","persib day heula euy bermuara :D https://t.co/Yam6cwpa2P","1790338771336220733","https://pbs.twimg.com/media/GNiOgJLagAA-Hia.jpg","","in","Bandung, Jawa Barat","7","15","20","https://twitter.com/BaseBDG/status/1790338771336220733","1248335621988311041","BaseBDG"
"1790305238622372046","Tue May 14 11:02:17 +0000 2024","0","@mahaliniraharj WHT ADA MAHALININYE Maaf ya Lini bercanda aja kok.. selamat #beRMuara kok gak undang selebgram kondang? (gw) ","1790336827330892122","","mahaliniraharj","in","MACHÉRI.","0","0","0","https://twitter.com/keancu/status/1790336827330892122","1002343474740391936","keancu"
"1790317522388234285","Tue May 14 10:38:52 +0000 2024","0","@milkaoreoisgud Mahalini bermuara","1790330937118781714","","milkaoreoisgud","in","","0","1","0","https://twitter.com/say_zoee/status/1790330937118781714","1407921194288877571","say_zoee"
"1790330125986496758","Tue May 14 10:35:39 +0000 2024","0","3 Lagu Populer Rizky Febian dan Mahalini Liriknya Semua Romantis Ada Bermuara hingga Satu Tuju https://t.co/MG11aNa89j via @tribunnews","1790330125986496758","","","in","Surabaya, Jawa Timur","0","0","0","https://twitter.com/tribunjatim/status/1790330125986496758","279961400","tribunjatim"
"1790329022528008228","Tue May 14 10:31:19 +0000 2024","0"," akan bermuara? mengapa harus ke sana? bisakah pergi ke tempat lain? adakah cara untuk memaknai kesingkatan hidup manusia? saya bersyukur mempunyai orang-orang yang bisa diajak diskusi perkara serupa yang tadi tanpa ada keseganan. Tidak ada pertanyaan yang bodoh.","1790329036297970085","","serpentinefir","in","","0","0","0","https://twitter.com/serpentinefir/status/1790329036297970085","1638977827021393920","serpentinefir"
"1790327474917921242","Tue May 14 10:25:07 +0000 2024","0","Gawat bangettt sejak dengerin lagu Bermuara kayak setiap detik tuh bisa tiba-tiba nyanyi aja ‍","1790327474917921242","","","in","In your mind","0","0","0","https://twitter.com/alsefias/status/1790327474917921242","225376041","alsefias"
"1790142229623005666","Tue May 14 10:19:59 +0000 2024","0","@Mussa2103 @Just_Ab1 Sering menjudge bid'ah yg bermuara pada sesat dan kafir masih ajah ngeles gak pernah mengkafirkan...kek bajaj ajah ngelesnya https://t.co/1yebdN80zq","1790326184812888463","https://pbs.twimg.com/media/GNiELW_bkAAlOOd.png","Mussa2103","in","Yogyakarta, Indonesia","0","0","0","https://twitter.com/BangArmanJogja/status/1790326184812888463","1260971955366305793","BangArmanJogja"
"1790211192042189009","Tue May 14 09:58:21 +0000 2024","0","@aditeryx @tanyakanrl kasih andai anganQu bersuara dia qan bernyanyi arab saudi indah yang qan bermuara di fajar hati","1790320741034139871","","aditeryx","in","","0","1","0","https://twitter.com/romesfff/status/1790320741034139871","1588170063663620096","romesfff"
"1790317799270744323","Tue May 14 09:46:40 +0000 2024","0","Pada akhirnya kisah ini akan Bermuara pada 2 kemungkinan PERNIKAHAN atau PERPISAHAN","1790317799270744323","","","in","","0","0","0","https://twitter.com/iamapian14/status/1790317799270744323","1767904999491895296","iamapian14"
"1790314869729935858","Tue May 14 09:35:02 +0000 2024","0","rab saudi indah yang kan bermuara di fajar hati","1790314869729935858","","","in","","0","0","0","https://twitter.com/shiawaseiku/status/1790314869729935858","877743451483250688","shiawaseiku"
"1790312495217082635","Tue May 14 09:25:35 +0000 2024","0","wkwk bjiir pake lagu bermuara okeh saya mundurrrr","1790312495217082635","","","in","","0","1","0","https://twitter.com/jungvelywoi/status/1790312495217082635","1753826083433271296","jungvelywoi"
"1790311654535893175","Tue May 14 09:22:15 +0000 2024","1","Nyanyi lagu bermuara tapi duet ma siapa :)","1790311654535893175","","","in","Bali, Indonesia","0","1","0","https://twitter.com/urfawgvrl/status/1790311654535893175","1472205843017846788","urfawgvrl"
"1790305133274009882","Tue May 14 08:56:20 +0000 2024","0","Kita usahakan sound 'bermuara' itu di tahun ini.","1790305133274009882","","","in","Banten, Indonesia","0","0","0","https://twitter.com/aprlmaple/status/1790305133274009882","1258805110039212033","aprlmaple"
